;;;;;;;;;Formações;;;;Projetos;;;;Avaliações;;;;;CENSO;;;;;;;
;;;;;;;;;2021;;2022;;2021;;2022;;2021 - entrada;2021 - formativa;2021 - saída;2022 - entrada; 2022 - saída;;;;;;;;
Estado;Município;Cod Escola;Escola;Rede;Escola aderiu?;Data de adesão da escola;Rede aderiu?;Data de adesão da rede;Aprovados - formação professores;Aprovados - formação gestores;Aprovados - formação professores;Aprovados - formação gestores;Projetos selecionados;Projetos concluídos;Projetos selecionados;Projetos concluídos;Alunos avaliados LF - Março 21;Alunos avaliados LF - Agosto 21;Alunos avaliados LF - Novembro 21;Alunos avaliados LF - Abril 22;Alunos avaliados LF - Out 22;Qtde matrículas;Qtde turmas;Qtde docentes;Qtde diretores;Localização;Indígena ou Quilombola;;
PERNAMBUCO;RECIFE;26118734;ESCOLA MUNICIPAL MONTEIRO LOBATO;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;18;0;0;0;263;12;13;0;Urbana;0;;
PERNAMBUCO;RECIFE;26119129;ESCOLA MUNICIPAL DE DOIS RIOS;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;31;0;32;0;220;10;9;2;Urbana;0;;
PERNAMBUCO;RECIFE;26119170;ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES;MUNICIPAL;Sim;27/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;269;11;10;2;Urbana;0;;
PERNAMBUCO;RECIFE;26119196;ESCOLA MUNICIPAL TRES CARNEIROS;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;217;10;9;1;Urbana;0;;
PERNAMBUCO;RECIFE;26119331;ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA;MUNICIPAL;Sim;31/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;538;22;17;2;Urbana;0;;
PERNAMBUCO;RECIFE;26119641;ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;506;19;22;2;Urbana;0;;
PERNAMBUCO;RECIFE;26119730;ESCOLA DE APLICACAO DO RECIFE;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;55;0;0;0;136;4;12;0;Urbana;0;;
PERNAMBUCO;RECIFE;26120100;ESCOLA PROFESSORA INALDA SPINELLI;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;335;10;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26120569;ESCOLA MUNICIPAL PROFESSORA MARIA DA PAZ BRANDAO ALVES;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;478;21;16;1;Urbana;0;;
PERNAMBUCO;RECIFE;26120674;ESCOLA MUNICIPAL ENGENHEIRO UMBERTO GONDIM;MUNICIPAL;Sim;16/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;469;22;17;1;Urbana;0;;
PERNAMBUCO;RECIFE;26120682;ESCOLA MUNICIPAL BALBINA MENELAU;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;288;12;8;1;Urbana;0;;
PERNAMBUCO;RECIFE;26120763;ESCOLA MUNICIPAL MAGALHAES BASTOS;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;57;0;0;0;529;24;19;2;Urbana;0;;
PERNAMBUCO;RECIFE;26120810;ESCOLA MUNICIPAL HUGO GERDAU;MUNICIPAL;Sim;31/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;381;13;14;0;Urbana;0;;
PERNAMBUCO;RECIFE;26120992;ESCOLA LICEU DE ARTES E OFICIOS;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;3;1;0;0;7;2;0;0;0;58;0;0;0;481;12;17;1;Urbana;0;;
PERNAMBUCO;RECIFE;26121077;ESCOLA MUNICIPAL SANTA MARIA;MUNICIPAL;Sim;21/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;510;21;14;2;Urbana;0;;
PERNAMBUCO;RECIFE;26121158;ESCOLA MUNICIPAL VILA SESAMO;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;604;21;22;1;Urbana;0;;
PERNAMBUCO;RECIFE;26121255;ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;57;0;0;0;674;25;21;2;Urbana;0;;
PERNAMBUCO;RECIFE;26121468;ESCOLA MUNICIPAL PEDRO AUGUSTO;MUNICIPAL;Sim;22/02/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;350;13;13;2;Urbana;0;;
PERNAMBUCO;RECIFE;26121620;ESCOLA JOAO BARBALHO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;2;0;0;0;0;17;0;0;0;772;23;27;1;Urbana;0;;
PERNAMBUCO;RECIFE;26121638;ESCOLA MONSENHOR FRANCISCO SALLES;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;1;0;0;0;3;1;0;0;0;66;24;0;0;710;22;25;2;Urbana;0;;
PERNAMBUCO;RECIFE;26121786;ESCOLA MUNICIPAL REITOR JOAO ALFREDO;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;330;13;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26121867;ESCOLA CONEGO ROCHAEL DE MEDEIROS;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;735;20;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26121891;ESCOLA JOSE MARIA;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;1;0;0;0;0;19;0;50;0;391;12;13;0;Urbana;0;;
PERNAMBUCO;RECIFE;26121980;ESCOLA MUNICIPAL GENERAL EMIDIO DANTAS BARRETO;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;14;17;0;0;220;12;10;0;Urbana;0;;
PERNAMBUCO;RECIFE;26122227;ESCOLA GOVERNADOR BARBOSA LIMA;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;1;0;0;0;0;42;1;0;0;374;11;18;2;Urbana;0;;
PERNAMBUCO;RECIFE;26122260;ESCOLA PROFESSOR MOTTA E ALBUQUERQUE;ESTADUAL;Sim;25/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;10;0;0;0;509;13;16;0;Urbana;0;;
PERNAMBUCO;RECIFE;26122545;ESCOLA DOM CARLOS COELHO - RECIFE;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;1;0;0;0;2;2;2;1;0;52;48;50;0;303;10;12;0;Urbana;0;;
PERNAMBUCO;RECIFE;26122553;ESCOLA EMBAIXADOR GILBERTO AMADO;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;1;0;0;0;2;2;0;0;0;154;28;0;0;587;16;19;1;Urbana;0;;
PERNAMBUCO;RECIFE;26122855;ESCOLA DEBORA FEIJO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;305;9;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26122880;ESCOLA PRESIDENTE ARTHUR DA COSTA E SILVA;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;41;0;0;0;465;15;19;1;Urbana;0;;
PERNAMBUCO;RECIFE;26122952;ESCOLA SENADOR NILO DE SOUZA COELHO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;556;16;17;1;Urbana;0;;
PERNAMBUCO;RECIFE;26122987;ESCOLA CARMELA DUTRA;ESTADUAL;Sim;31/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;470;14;15;2;Urbana;0;;
PERNAMBUCO;RECIFE;26123100;ESCOLA MUNICIPAL SANTA EDWIGES;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;143;10;8;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123150;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CREUSA BARRETO DORNELAS CAMARA;ESTADUAL;Sim;31/07/2021;Sim;06/07/2021;1;0;0;0;0;0;0;0;0;35;0;0;0;289;10;14;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123231;ESCOLA MACIEL PINHEIRO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;1;0;0;0;0;0;0;0;0;0;0;0;0;731;17;20;0;Urbana;0;;
PERNAMBUCO;RECIFE;26123240;ESCOLA MARIA GORETTI;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;380;12;13;0;Urbana;0;;
PERNAMBUCO;RECIFE;26123380;ESCOLA MUNICIPAL ALTO DA BELA VISTA;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;152;8;7;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123444;ESCOLA MUNICIPAL CASA DOS FERROVIARIOS;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;16;20;0;106;326;16;15;2;Urbana;0;;
PERNAMBUCO;RECIFE;26123487;ESCOLA MUNICIPAL DOM BOSCO;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;498;16;14;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123495;ESCOLA MUNICIPAL DOUTOR ANTONIO CORREIA;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;164;12;11;0;Urbana;0;;
PERNAMBUCO;RECIFE;26123509;ESCOLA EDWIGES DE SA PEREIRA;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;362;12;15;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123525;ESCOLA MARCELINO CHAMPAGNAT;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;49;0;0;0;686;25;29;0;Urbana;0;;
