Estado;Município;Rede;Cod Escola;Escola;Qtde aprovados_formação de professores (acumulado desde 2021);Qtde aprovados_formação de gestores (acumulado desde 2021);Qtde Projetos concluídos;Total alunos avaliados - entrada;Total alunos avaliados - saída;Turmas Fundamental;Matrículas Fundamental;Matrículas 3+5+7+9 anos;Docentes Fundamental;"Localizacao diferenciada (1-assentamento;2-terra indig;3-quilombola;8-comun tradic)";Ensino Indígena
PERNAMBUCO;RECIFE;ESTADUAL;26125650;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO LIONS DE PARNAMIRIM;4;1;3;50;56;8;246;126;11;0;0
PERNAMBUCO;RECIFE;MUNICIPAL;26123444;ESCOLA MUNICIPAL CASA DOS FERROVIARIOS;0;0;0;142;127;17;350;152;16;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26124670;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO MARECHAL EURICO GASPAR DUTRA;16;3;0;0;0;14;487;265;20;0;0
PERNAMBUCO;RECIFE;MUNICIPAL;26126788;ESCOLA MUNICIPAL PROFESSOR MAURO MOTA;0;1;0;0;122;12;306;126;7;0;0
PERNAMBUCO;RECIFE;MUNICIPAL;26119129;ESCOLA MUNICIPAL DE DOIS RIOS;0;0;0;72;0;10;219;87;7;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26126443;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO NOSSA SENHORA DE FATIMA;1;0;0;26;0;4;91;46;10;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26128454;ESCOLA PROFESSOR JOSE DOS ANJOS;1;0;2;75;83;20;846;418;24;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26122545;ESCOLA DOM CARLOS COELHO - RECIFE;1;0;0;58;0;10;321;136;12;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26128560;ESCOLA SAO FRANCISCO DE ASSIS - RN;2;0;1;31;37;14;537;299;19;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26125986;ESCOLA ANA MALTA DA COSTA AZEVEDO;3;0;0;14;0;12;331;124;15;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26125943;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO MONSENHOR MANOEL MARQUES;2;0;0;33;0;11;381;176;18;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26126052;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CORONEL OTHON;1;0;0;53;40;19;623;314;21;0;0
PERNAMBUCO;RECIFE;ESTADUAL;26120992;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO LICEU DE ARTES E OFICIOS;3;1;0;0;0;12;483;241;16;0;0
