CD_INEP;NM_ESCOLA;UF;Rede;MUN_NM;Total alunos avaliados - entrada;Total alunos avaliados - saída;Total avaliações;Total Projetos aplicados;Profissionais formados (acumulado desde 2021);Downloads avaliações;Downloads projetos;Profissionais inscritos em 2024;Profissionais aprovados em 2024;Matrículas 3+5+7+9 anos;Matrículas Fundamental;Turmas Fundamental;Docentes Fundamental;"Localização (1-Urbana;2-rural)";"Localizacao diferenciada (1-assentamento;2-terra indig;3-quilombola;8-comun tradic)";Ensino Indígena;Ensino fundamental;Funcionamento;Aderida em 31/dez/2024;Adesao ao longo 2024
26121255;ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;348;735;25;25;1;0;0;1;1;1;1
26133389;ESCOLA MUNICIPAL NADIR COLACO;PE;Municipal;Recife;0;0;0;0;0;0;0;1;0;169;366;13;15;1;0;0;1;1;1;1
26158302;ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;129;298;12;9;1;0;0;1;1;1;1
26125358;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO MONTE VERDE;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;192;344;10;14;1;0;0;1;1;1;1
26124840;ESCOLA MUNICIPAL MENINO JESUS;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;78;154;6;6;1;0;0;1;1;1;1
26125986;ESCOLA ANA MALTA DA COSTA AZEVEDO;PE;Estadual;Recife;0;0;0;0;3;0;0;0;0;197;321;12;14;1;0;0;1;1;1;1
26122880;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PRESIDENTE ARTHUR DA COSTA E SILVA;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;217;448;12;16;1;0;0;1;1;1;1
26122260;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSOR MOTTA E ALBUQUERQUE;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;168;366;10;14;1;0;0;1;1;1;1
26153386;ESCOLA MUNICIPAL PROFESSOR ANTONIO DE BRITO ALVES;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;356;698;21;26;1;0;0;1;1;1;1
26166640;ESCOLA MUNICIPAL DE AGUA FRIA;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;79;243;14;11;1;0;0;1;1;1;1
26126443;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO NOSSA SENHORA DE FATIMA;PE;Estadual;Recife;0;0;0;0;1;0;0;0;0;56;83;5;11;1;0;0;1;1;1;1
26124572;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL DELMIRO GOUVEIA;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;101;188;6;7;1;0;0;1;1;1;1
26125293;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL SENADOR ANTONIO FARIAS;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;138;284;8;10;1;0;0;1;1;1;1
26128950;ESCOLA MUNICIPAL IRMA TEREZINHA BATISTA PROJ NOVO VIVER;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;153;390;17;12;1;0;0;1;1;1;1
26157845;ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;69;162;7;7;1;0;0;1;1;1;1
26128454;ESCOLA PROFESSOR JOSE DOS ANJOS;PE;Estadual;Recife;0;0;0;0;1;2;0;1;0;414;845;20;21;1;0;0;1;1;1;1
26123584;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSORA OLINDINA ALVES SEMENTE;PE;Estadual;Recife;0;0;0;0;1;0;0;0;0;196;387;11;13;1;0;0;1;1;1;1
26127857;ESCOLA FERNANDES VIEIRA;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;195;347;10;11;1;0;0;1;1;1;1
26124831;ESCOLA PADRE LEBRET;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;568;1128;28;29;1;0;0;1;1;1;1
26126010;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO CAIO PEREIRA;PE;Estadual;Recife;0;0;0;0;0;0;0;0;0;277;531;13;23;1;0;0;1;1;1;1
26125560;ESCOLA MUNICIPAL PROF JOSE LOURENCO DE LIMA;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;94;284;13;8;1;0;0;1;1;1;1
26123444;ESCOLA MUNICIPAL CASA DOS FERROVIARIOS;PE;Municipal;Recife;0;0;0;0;0;0;1;0;0;131;341;16;15;1;0;0;1;1;1;1
26120674;ESCOLA MUNICIPAL ENGENHEIRO UMBERTO GONDIM;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;167;404;22;15;1;0;0;1;1;1;1
26168120;ESCOLA MUNICIPAL DO SANCHO;PE;Municipal;Recife;0;0;0;0;0;0;0;0;0;104;257;14;11;1;0;0;1;1;1;1
26123231;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL MACIEL PINHEIRO;PE;Estadual;Recife;0;0;0;0;1;0;0;0;0;249;500;12;18;1;0;0;1;1;1;1
26122545;ESCOLA DOM CARLOS COELHO - RECIFE;PE;Estadual;Recife;0;0;0;0;1;0;0;0;0;174;326;12;17;1;0;0;1;1;1;1
26122014;ESCOLA MUNICIPAL SEDE DA SABEDORIA;PE;Municipal;Recife;0;0;0;0;1;1;1;1;1;169;411;20;14;1;0;0;1;1;1;1
