UF;MUNINCIPIO;DEP_ADMINISTRATIVA;INEP;NOME_ESCOLA;DT_ADESAO;DT_INATIVACAO;SIT_FUNCIONAMENTO;ENS_FUNDAMENTAL?
PE;RECIFE;Estadual;26119730;ESCOLA DE APLICACAO DO RECIFE;2021-07-27;;1;1
PE;RECIFE;Estadual;26120100;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO PROFESSORA INALDA SPINELLI;2021-07-30;;1;1
PE;RECIFE;Estadual;26120992;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO LICEU DE ARTES E OFICIOS;2021-07-27;;1;1
PE;RECIFE;Estadual;26121620;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL JOAO BARBALHO;2021-07-30;;1;1
PE;RECIFE;Estadual;26121638;ESCOLA MONSENHOR FRANCISCO SALLES;2021-07-30;;1;1
PE;RECIFE;Estadual;26121867;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CONEGO ROCHAEL DE MEDEIROS;2021-07-30;;1;1
PE;RECIFE;Estadual;26121891;ESCOLA JOSE MARIA;2021-07-30;;1;1
PE;RECIFE;Estadual;26122227;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO GOVERNADOR BARBOSA LIMA;2021-07-30;;1;1
PE;RECIFE;Estadual;26122260;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSOR MOTTA E ALBUQUERQUE;2021-07-25;;1;1
PE;RECIFE;Estadual;26122545;ESCOLA DOM CARLOS COELHO - RECIFE;2021-07-28;;1;1
PE;RECIFE;Estadual;26122553;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL EMBAIXADOR GILBERTO AMADO;2021-07-27;;1;1
PE;RECIFE;Estadual;26122855;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO DEBORA FEIJO;2021-07-30;;1;1
PE;RECIFE;Estadual;26122880;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PRESIDENTE ARTHUR DA COSTA E SILVA;2021-07-27;;1;1
