TS_PROFESSOR;;;;;;;
;;;;;;;
Variável;Tipo;Tamanho;Descrição;Código de Preenchimento;;;
ID_SAEB;Num;4;Ano de aplicação do Saeb;2023;;;
ID_REGIAO;Num;1;Código da Região;1 -  Norte;;;
;;;;2 -  Nordeste;;;
;;;;3 -  Sudeste;;;
;;;;4 -  Sul;;;
;;;;5 -  Centro-Oeste;;;
ID_UF;Num;2;Código da Unidade da Federação;11 - RO;;;
;;;;12 - AC;;;
;;;;13 - AM;;;
;;;;14 - RR;;;
;;;;15 - PA;;;
;;;;16 - AP;;;
;;;;17 - TO;;;
;;;;21 - MA;;;
;;;;22 - PI;;;
;;;;23 - CE;;;
;;;;24 - RN;;;
;;;;25 - PB;;;
;;;;26 - PE;;;
;;;;27 - AL;;;
;;;;28 - SE;;;
;;;;29 - BA;;;
;;;;31 - MG;;;
;;;;32 - ES;;;
;;;;33 - RJ;;;
;;;;35 - SP;;;
;;;;41 - PR;;;
;;;;42 - SC;;;
;;;;43 - RS;;;
;;;;50 - MS;;;
;;;;51 - MT;;;
;;;;52 - GO;;;
;;;;53 - DF;;;
ID_MUNICIPIO;Num;7;Máscaras dos Códigos de Municípios (são códigos fictícios);;;;
ID_AREA;Num;1;Área;1 - Capital;;;
;;;;2 - Interior;;;
ID_ESCOLA;Num;8;Máscaras dos Códigos de Escola (são códigos fictícios);;;;
IN_PUBLICA;Num;1;Indica se a escola é pública ou não;0 -  Privada;;;
;;;;1 -  Pública;;;
ID_LOCALIZACAO;Num;1;Localização;1 -  Urbana;;;
;;;;2 -  Rural;;;
ID_TURMA;Num;6;Código da turma no Saeb;;;;
ID_PROFESSOR;Num;8;Código do Professor no Saeb;;;;
ID_SERIE;Num;2;Ano Escolar;2 - 2º Ano do Ensino Fundamental;;;
;;;;5 - 5º Ano do Ensino Fundamental;;;
;;;;9 - 9º Ano do Ensino Fundamental;;;
;;;;12 - 3ª/4ª séries do Ensino Médio Tradicional;;;
;;;;13 - 3ª/4ª séries do Ensino Médio Integrado;;;
SQ_QUESTIONARIO;CHAR;1;Sequencial do questionário na turma;0 - Turmas que não participaram da aplicação do questionário eletrônico ;;;
;;;;5 - Professor único - 2º e 5º ano ;;;
;;;;1 - Língua /Literatura Portuguesa ;;;
;;;;2 - Matemática ;;;
;;;;3 - Ciências Humanas ;;;
;;;;4 - Ciências Da Natureza ;;;
IN_PREENCHIMENTO_QUESTIONARIO;Num;1;Indicador de preenchimento do questionário;0 -  Não preenchido;;;
;;;;1 - Preenchido parcial ou totalmente;;;
IN_PREENCHIMENTO_OUTRA_TURMA;Num;1;Indicador de preenchimento do questionário para outra turma, pelo mesmo professor;0 - Não;;;
;;;;1 - Sim;;;
VARIÁVEL;TIPO;TAMANHO;GRUPO;DESCRICAO DO TEXTO DA PERGUNTA;REGRA;CODIGO DA OPCAO DE RESPOSTA;RESPOSTA
TX_Q001;CHAR;1;INFORMAÇÕES GERAIS;Qual é o seu sexo?;;A;Masculino.
;;;;;;B;Feminino.
;;;;;;C;Não quero declarar.
TX_Q002;NUM;2;INFORMAÇÕES GERAIS;Qual é a sua idade?;;slidebar;18-70
TX_Q003;CHAR;1;INFORMAÇÕES GERAIS;Qual é a sua cor ou raça?;;A;Branca.
;;;;;;B;Preta.
;;;;;;C;Parda.
;;;;;;D;Amarela.
;;;;;;E; Indígena.
;;;;;;F;Não quero declarar.
TX_Q004;CHAR;1;INFORMAÇÕES GERAIS;Você possui deficiência, transtorno do espectro autista ou superdotação?;;A;Não
;;;;;;B;Sim
TX_Q005;CHAR;1;INFORMAÇÕES GERAIS;Indique qual é a sua condição:  Deficiência.;"Regra de dependência: se Q004=""B"", então abre o bloco (Q005 a Q007)";A;Não
;;;;;;B;Sim
TX_Q006;CHAR;1;INFORMAÇÕES GERAIS;Indique qual é a sua condição: Transtorno do espectro autista.;"Regra de dependência: se Q004=""B"", então abre o bloco (Q005 a Q007)";A;Não
;;;;;;B;Sim
TX_Q007;CHAR;1;INFORMAÇÕES GERAIS;Indique qual é a sua condição: Altas habilidades/superdotação.;"Regra de dependência: se Q004=""B"", então abre o bloco (Q005 a Q007)";A;Não
;;;;;;B;Sim
TX_Q008;CHAR;1;INFORMAÇÕES GERAIS;Leio livros não relacionados à Educação.;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q009;CHAR;1;INFORMAÇÕES GERAIS;Acesso blogs, Youtube, redes sociais (Twitter, Instagram, Facebook etc.).;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q010;CHAR;1;INFORMAÇÕES GERAIS;Assisto a filmes.;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q011;CHAR;1;INFORMAÇÕES GERAIS;Vou a exposições (museus, centros culturais).;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q012;CHAR;1;INFORMAÇÕES GERAIS;Assisto a espetáculos (teatro, shows, circo, etc);Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q013;CHAR;1;INFORMAÇÕES GERAIS;Estudo.;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q014;CHAR;1;INFORMAÇÕES GERAIS;Assisto a telejornal.;Neste ano, o que normalmente você tem feito quando está fora do(s) seu(s) local(is) de trabalho?;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q015;CHAR;1;INFORMAÇÕES GERAIS;Tornar-me professor(a) foi a realização de um dos meus sonhos.;Indique o quanto você concorda ou discorda em relação aos seguintes temas envolvendo o seu trabalho como professor(a) da Educação Básica?;A;Discordo fortemente
;;;;;;B;Discordo
;;;;;;C;Concordo
;;;;;;D;Concordo fortemente
TX_Q016;CHAR;1;INFORMAÇÕES GERAIS;A profissão de professor(a) é valorizada pela sociedade.;Indique o quanto você concorda ou discorda em relação aos seguintes temas envolvendo o seu trabalho como professor(a) da Educação Básica?;A;Discordo fortemente
;;;;;;B;Discordo
;;;;;;C;Concordo
;;;;;;D;Concordo fortemente
TX_Q017;CHAR;1;INFORMAÇÕES GERAIS;As vantagens de ser professor(a) superam claramente as desvantagens.;Indique o quanto você concorda ou discorda em relação aos seguintes temas envolvendo o seu trabalho como professor(a) da Educação Básica?;A;Discordo fortemente
;;;;;;B;Discordo
;;;;;;C;Concordo
;;;;;;D;Concordo fortemente
TX_Q018;CHAR;1;INFORMAÇÕES GERAIS;No geral, estou satisfeito(a) com o meu trabalho de professor(a).;Indique o quanto você concorda ou discorda em relação aos seguintes temas envolvendo o seu trabalho como professor(a) da Educação Básica?;A;Discordo fortemente
;;;;;;B;Discordo
;;;;;;C;Concordo
;;;;;;D;Concordo fortemente
TX_Q019;CHAR;1;INFORMAÇÕES GERAIS;Tenho vontade de desistir da profissão;Indique o quanto você concorda ou discorda em relação aos seguintes temas envolvendo o seu trabalho como professor(a) da Educação Básica?;A;Discordo fortemente
;;;;;;B;Discordo
;;;;;;C;Concordo
;;;;;;D;Concordo fortemente
TX_Q020;CHAR;1;FORMAÇÃO ;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;A;Ensino Médio - Magistério.
;;;;;;B;Graduação.
