Localidade;Total;Concursado/efetivo/estável;Contrato temporário;Contrato terceirizado;Contrato CLT;Não Aplicável para docentes da rede privada;
Brasil;769.366;375.848;207.518;3.680;11.320;196.495;
Centro-Oeste;60.313;26.703;19.852;112;550;15.090;
Nordeste;208.215;96.328;57.745;1.265;510;57.717;
PE;29.963;10.019;8.638;63;158;11.850;
Recife;4.600;1.298;505;3;2;2.814;
Norte;67.100;36.742;21.167;83;127;10.227;
Sudeste;309.401;144.782;79.439;1.753;8.036;87.995;
Sul;124.414;71.326;29.319;467;2.097;25.473;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
